quarter,slouched_pct,peak_flexion,avg_deviation,deviation_count,quarter_score
Q1,66.3265306122449,83.21044921875,0.0,65.0,70.0
Q2,34.375,78.1951904296875,0.0,33.0,70.0
Q3,58.51063829787234,84.6771240234375,41.71714782714844,55.0,0.0
Q4,100.0,56.09619140625,38.298000060405926,97.0,4.629856384906574
Total,64.80304222752932,75.54473876953125,20.00378697188859,62.5,19.99621302811141
