start_time,end_time,duration_sec,max_lean_angle
2025-05-29 23:24:35.021,2025-05-29 23:24:47.154,12.133,52.307266727570564
2025-05-29 23:24:58.327,2025-05-29 23:25:23.027,24.7,56.844620243195564
2025-05-29 23:26:09.598,2025-05-29 23:27:25.130,75.532,47.281021610383064
