quarter,slouched_pct,peak_flexion,avg_deviation,deviation_count,quarter_score
Q1,57.01559020044544,71.4362265846946,48.622964846720926,256.0,0.0
Q2,11.655011655011656,36.433785178444595,21.007881858132095,50.0,36.66677925803445
Q3,9.502262443438914,13.768990256569595,0.0,42.0,100.0
Q4,17.864923747276688,21.596749045632095,19.095528342507095,82.0,49.70690987326883
Total,24.009447011543173,35.80893776633522,22.181593761840027,107.5,35.96170291340856
