quarter,slouched_pct,peak_flexion,avg_deviation,deviation_count,quarter_score
Q1,56.38297872340426,44.549560546875,0.0,53.0,81.58782958984375
Q2,78.125,45.6976318359375,0.0,75.0,80.72677612304688
Q3,36.95652173913044,21.0113525390625,0.0,34.0,99.24148559570312
Q4,56.38297872340426,24.049072265625,0.0,53.0,96.96319580078125
Total,56.961869796484734,33.826904296875,0.0,53.75,89.62982177734375
