timestamp,ax (m/s^2),ay (m/s^2),az (m/s^2),wx (deg/s),wy (deg/s),wz (deg/s),roll (deg),pitch (deg),yaw (deg)
2025-05-30 10:14:41.890,9.30234375,1.35419921875,3.0146484375,0.79345703125,1.89208984375,9.765625,24.796142578125,-66.412353515625,24.9334716796875
2025-05-30 10:14:42.010,8.91953125,1.6700195312500001,3.7611328125,9.8876953125,11.41357421875,8.056640625,22.2198486328125,-65.8465576171875,29.256591796875
2025-05-30 10:14:42.130,8.96259765625,1.6269531250000002,3.9046875,6.8359375,3.72314453125,6.28662109375,21.1376953125,-65.45654296875,31.7120361328125
2025-05-30 10:14:42.370,9.0630859375,1.6173828125,3.6367187500000004,1.3427734375,-2.38037109375,2.86865234375,20.4949951171875,-65.7916259765625,33.0963134765625
2025-05-30 10:14:46.091,4.230078125,2.8663085937500004,8.58935546875,-2.9296875,38.26904296875,-6.53076171875,15.743408203125,-28.9874267578125,-5.4107666015625
2025-05-30 10:14:46.196,3.71806640625,2.9955078125,9.029589843750001,-2.44140625,38.26904296875,-4.21142578125,15.479736328125,-24.4281005859375,-6.558837890625
2025-05-30 10:14:46.675,2.296875,2.6796875,9.479394531250001,0.48828125,4.2724609375,2.74658203125,15.0732421875,-14.842529296875,-12.0904541015625
2025-05-30 10:14:47.500,2.42607421875,2.7466796875000004,9.4171875,-2.13623046875,-1.52587890625,0.42724609375,14.74365234375,-14.8809814453125,-22.1209716796875
2025-05-30 10:14:47.606,2.45,2.7083984375,9.292773437500001,-0.42724609375,0.18310546875,0.30517578125,14.7821044921875,-14.8370361328125,-23.2745361328125
2025-05-30 10:14:48.791,2.32080078125,2.7897460937500003,9.436328125000001,-2.44140625,-0.244140625,0.54931640625,14.952392578125,-13.875732421875,-30.4486083984375
2025-05-30 10:14:48.895,2.3590820312500003,2.7418945312500003,9.460253906250001,-3.5400390625,-0.244140625,0.42724609375,14.7930908203125,-13.8372802734375,-30.95947265625
2025-05-30 10:14:49.975,2.3112304687500003,2.66533203125,9.484179687500001,-0.67138671875,1.15966796875,-0.244140625,14.4140625,-13.38134765625,-34.3927001953125
2025-05-30 10:14:51.670,5.924023437500001,2.4021484375,7.144238281250001,10.498046875,-57.861328125,11.16943359375,16.0400390625,-35.8209228515625,-37.5128173828125
2025-05-30 10:14:58.675,9.22578125,0.6507812500000001,3.2826171875,-10.1318359375,-5.0048828125,1.52587890625,13.90869140625,-70.7025146484375,18.819580078125
2025-05-30 10:14:58.795,9.512890625,0.6555664062500001,2.87587890625,-0.6103515625,1.3427734375,1.28173828125,13.348388671875,-71.0650634765625,19.2919921875
2025-05-30 10:15:01.832,9.168359375000001,0.49765625,3.7084960937500004,0.06103515625,-2.9296875,-1.89208984375,8.272705078125,-68.499755859375,27.00439453125
2025-05-30 10:15:02.066,9.144433593750001,0.6555664062500001,3.4166015625000004,-3.173828125,3.90625,-4.45556640625,9.920654296875,-68.807373046875,24.510498046875
2025-05-30 10:15:02.425,9.077441406250001,0.8852539062500001,3.7084960937500004,-4.8828125,-4.33349609375,-2.8076171875,11.5191650390625,-68.5107421875,20.93994140625
2025-05-30 10:15:07.016,7.49833984375,1.87099609375,5.91923828125,-14.83154296875,53.5888671875,-10.68115234375,15.7763671875,-51.6796875,11.392822265625
2025-05-30 10:15:09.055,2.4021484375,2.03369140625,9.666015625,-9.033203125,2.38037109375,2.8076171875,10.1898193359375,-16.446533203125,-18.6328125
2025-05-30 10:15:09.160,2.6222656250000003,1.78486328125,9.431542968750001,8.544921875,1.953125,4.7607421875,10.08544921875,-16.2762451171875,-19.423828125
2025-05-30 10:15:09.281,3.0625,2.2490234375,9.01044921875,-9.1552734375,-8.11767578125,1.89208984375,10.228271484375,-16.58935546875,-20.41259765625
2025-05-30 10:15:09.400,2.71318359375,1.703515625,9.555957031250001,2.25830078125,-5.0048828125,5.0048828125,9.7064208984375,-17.3089599609375,-21.4508056640625
2025-05-30 10:15:09.520,3.00029296875,1.8183593750000002,9.54638671875,-0.79345703125,3.90625,-1.220703125,9.591064453125,-17.105712890625,-22.3077392578125
2025-05-30 10:15:09.881,2.6892578125,1.7178710937500001,9.3501953125,-0.9765625,10.25390625,-1.03759765625,9.11865234375,-15.1336669921875,-25.0653076171875
2025-05-30 10:15:11.666,1.1915039062500001,1.4211914062500002,9.986621093750001,-2.0751953125,-4.638671875,2.01416015625,7.0147705078125,-6.690673828125,-32.4261474609375
2025-05-30 10:15:11.770,1.244140625,1.3015625000000002,9.9435546875,-1.8310546875,-1.46484375,1.77001953125,6.85546875,-7.05322265625,-32.8765869140625
2025-05-30 10:15:12.595,1.3015625000000002,1.3829101562500001,9.986621093750001,-0.3662109375,-0.54931640625,0.67138671875,6.8060302734375,-7.4761962890625,-34.903564453125
2025-05-30 10:15:12.700,1.2919921875,1.4211914062500002,9.96748046875,-1.03759765625,-0.6103515625,0.48828125,6.8609619140625,-7.5311279296875,-35.3265380859375
2025-05-30 10:15:13.420,1.67958984375,1.40205078125,10.4029296875,1.953125,-11.65771484375,2.50244140625,6.778564453125,-10.4095458984375,-36.925048828125
2025-05-30 10:15:13.540,1.7226562500000002,1.4211914062500002,10.412500000000001,1.8310546875,-42.724609375,2.99072265625,7.042236328125,-13.194580078125,-37.3150634765625
2025-05-30 10:15:15.940,4.0673828125,1.63173828125,9.1109375,0.0,0.1220703125,-0.42724609375,8.953857421875,-23.7030029296875,-26.2188720703125
