quarter,total_events,max_lean,avg_lean_angle,quarter_score
Q1,0,0.0,0.0,100.0
Q2,1,79.3042703544908,79.3042703544908,0.0
Q3,0,0.0,0.0,100.0
Q4,0,0.0,0.0,100.0
Avg,1,79.3042703544908,19.8260675886227,75.0
