timestamp,ax (m/s^2),ay (m/s^2),az (m/s^2),wx (deg/s),wy (deg/s),wz (deg/s),roll (deg),pitch (deg),yaw (deg),tilt angle (deg)
2025-05-27 21:25:49.312,7.84287109375,2.34951171875,-5.1201171875,-12.6953125,-47.607421875,-17.02880859375,154.1107177734375,-50.9271240234375,-83.572998046875,75.91796692852962
2025-05-27 21:25:49.380,7.2447265625,2.27294921875,-5.263671875,-27.52685546875,-64.208984375,-4.7607421875,154.35791015625,-47.471923828125,-85.4901123046875,75.75802442568603
2025-05-27 21:25:49.496,6.593945312500001,1.5743164062500001,-5.4359375000000005,-1.40380859375,-16.11328125,5.31005859375,156.038818359375,-43.6541748046875,-87.03369140625,79.56185893679935
2025-05-27 21:25:49.590,4.3832031250000005,1.6604492187500002,-6.31162109375,15.13671875,-44.3115234375,-44.98291015625,159.2852783203125,-40.2813720703125,-84.1717529296875,77.80686112019086
2025-05-27 21:25:49.716,5.11533203125,3.45009765625,-6.565234375,-69.2138671875,-42.29736328125,-27.16064453125,153.7921142578125,-33.321533203125,-81.2603759765625,67.48423698151105
2025-05-27 21:25:49.813,4.9861328125,5.8474609375,-9.130078125,-47.36328125,-39.1845703125,7.080078125,147.9803466796875,-30.849609375,-81.1505126953125,60.65964305993754
2025-05-27 21:25:49.935,4.29228515625,5.8187500000000005,-8.713769531250001,12.3291015625,-44.7998046875,3.84521484375,147.513427734375,-27.88330078125,-83.5784912109375,59.07700197589911
2025-05-27 21:25:50.036,3.1486328125000003,4.47412109375,-7.3787109375,-12.8173828125,-13.7939453125,-17.822265625,149.39208984375,-25.6475830078125,-82.5457763671875,60.8515046327499
2025-05-27 21:25:50.177,2.76103515625,4.20615234375,-6.904980468750001,-37.29248046875,-8.6669921875,11.71875,148.2659912109375,-23.3843994140625,-80.8978271484375,60.507222442014836
2025-05-27 21:25:50.238,0.0861328125,7.50791015625,-8.4888671875,-11.23046875,-630.859375,-56.94580078125,146.1895751953125,-8.6297607421875,-92.70263671875,48.51057068991404
2025-05-27 21:25:50.355,-1.3733398437500002,6.6130859375,-6.881054687500001,125.67138671875,246.337890625,45.47119140625,136.8402099609375,5.723876953125,-99.8272705078125,46.69644462920344
2025-05-27 21:25:50.444,-0.593359375,5.8857421875,-7.4696289062500005,18.5546875,2.5634765625,27.4658203125,146.1236572265625,-5.9930419921875,-95.2789306640625,51.85099996401606
2025-05-27 21:25:50.563,0.92353515625,5.5220703125,-8.26875,23.86474609375,25.08544921875,4.5166015625,149.1998291015625,-11.4422607421875,-94.4219970703125,56.42788091272655
2025-05-27 21:25:50.666,0.6268554687500001,4.0673828125,-8.957812500000001,34.423828125,1.3427734375,-52.001953125,153.65478515625,-8.2891845703125,-91.3677978515625,65.63174949180399
2025-05-27 21:25:50.791,-1.7609375,3.9525390625,-9.321484375,21.240234375,-71.77734375,-5.43212890625,151.292724609375,-7.833251953125,-86.956787109375,67.38069984931349
2025-05-27 21:25:50.881,0.17705078125,4.823437500000001,-8.163476562500001,4.21142578125,20.751953125,-30.517578125,150.4962158203125,-6.35009765625,-85.133056640625,59.428936080639794
2025-05-27 21:25:51.005,0.63642578125,3.81376953125,-8.048632812500001,4.39453125,-1.220703125,-26.67236328125,150.6005859375,-4.295654296875,-81.4251708984375,64.71553107235783
