timestamp,ax (m/s^2),ay (m/s^2),az (m/s^2),wx (deg/s),wy (deg/s),wz (deg/s),roll (deg),pitch (deg),yaw (deg),tilt angle (deg)
2025-05-29 22:09:11.732,9.23056640625,-0.06699218750000001,-3.03857421875,-1.15966796875,-2.44140625,1.0986328125,179.80224609375,-71.7681884765625,7.6904296875,90.39497577009968
2025-05-29 22:09:11.835,9.21142578125,-0.06220703125,-3.09599609375,-0.48828125,-1.708984375,0.3662109375,179.835205078125,-71.685791015625,7.5860595703125,90.36676543823822
2025-05-29 22:09:11.882,9.21142578125,-0.057421875000000004,-3.0768554687500003,-0.48828125,-1.28173828125,0.54931640625,179.8516845703125,-71.630859375,7.4981689453125,90.33876537936122
2025-05-29 22:09:11.960,9.2353515625,-0.11484375000000001,-3.119921875,0.06103515625,-1.708984375,1.220703125,179.945068359375,-71.5704345703125,7.349853515625,90.6749778557963
2025-05-29 22:09:11.991,9.240136718750001,-0.07177734375,-3.0816406250000004,-0.42724609375,-0.9765625,1.15966796875,-179.9285888671875,-71.52099609375,7.174072265625,90.42220416792048
2025-05-29 22:09:12.022,9.220996093750001,-0.07177734375,-3.11513671875,-1.40380859375,-1.708984375,1.953125,-179.791259765625,-71.466064453125,6.9378662109375,90.42252891515815
2025-05-29 22:09:12.084,9.24970703125,-0.10527343750000001,-3.1055664062500004,-1.64794921875,-0.91552734375,1.28173828125,-179.6923828125,-71.4056396484375,6.7181396484375,90.61816214955726
2025-05-29 22:09:12.117,9.220996093750001,-0.0765625,-3.1342773437500004,-0.732421875,-0.54931640625,1.15966796875,-179.6044921875,-71.3946533203125,6.5533447265625,90.45041211509593
2025-05-29 22:09:12.178,9.206640625,-0.06699218750000001,-3.1103515625000004,-3.173828125,-1.708984375,0.6103515625,-179.5989990234375,-71.34521484375,6.416015625,90.394975291272
2025-05-29 22:09:12.209,9.216210937500001,-0.09091796875000001,-3.1773437500000004,-1.708984375,-1.5869140625,1.220703125,-179.549560546875,-71.2957763671875,6.251220703125,90.53434300676916
2025-05-29 22:09:12.239,9.216210937500001,-0.0765625,-3.1773437500000004,-1.77001953125,-1.28173828125,1.03759765625,-179.5001220703125,-71.2518310546875,6.1029052734375,90.44997685271686
2025-05-29 22:09:12.302,9.1875,-0.12919921875,-3.21083984375,-0.6103515625,-1.64794921875,0.48828125,-179.4781494140625,-71.19140625,5.99853515625,90.76056611130548
2025-05-29 22:09:12.334,9.21142578125,-0.12919921875,-3.16298828125,-1.5869140625,-1.28173828125,0.6103515625,-179.4781494140625,-71.1309814453125,5.899658203125,90.7600239064255
2025-05-29 22:09:12.401,9.220996093750001,-0.11484375000000001,-3.2204101562500003,-1.28173828125,-0.8544921875,1.0986328125,-179.45068359375,-71.0980224609375,5.80078125,90.67366003073168
2025-05-29 22:09:12.433,9.197070312500001,-0.11962890625000001,-3.1582031250000004,-0.91552734375,-0.42724609375,-0.244140625,-179.4287109375,-71.070556640625,5.6964111328125,90.70482665989171
2025-05-29 22:09:12.465,9.16357421875,-0.10527343750000001,-3.215625,-0.1220703125,-0.6103515625,-0.6103515625,-179.571533203125,-71.0595703125,5.80078125,90.62107275230645
