quarter,slouched_pct,peak_flexion,avg_deviation,deviation_count,quarter_score
Q1,81.11111111111111,57.3321533203125,0.0,73.0,72.00088500976562
Q2,88.76404494382022,33.739013671875,23.003302239752436,79.0,36.692437506341314
Q3,100.0,34.1729736328125,31.037079567132995,86.0,28.33319020825763
Q4,62.637362637362635,16.578369140625,11.98333740234375,57.0,58.01666259765625
Total,83.12812967307349,35.45562744140625,16.505929802307296,73.75,41.90234961663802
