Time,Device name,Chip Time(),Acceleration X(g),Acceleration Y(g),Acceleration Z(g),Angular velocity X(°/s),Angular velocity Y(°/s),Angular velocity Z(°/s),Angle X(°),Angle Y(°),Angle Z(°),Magnetic field X(ʯt),Magnetic field Y(ʯt),Magnetic field Z(ʯt),Temperature(℃),Quaternions 0(),Quaternions 1(),Quaternions 2(),Quaternions 3()
 08:16:56.535,f7:68:33:b1:9e:f1, 2015-01-01 01:02:58.545, -0.04, -0.817, 0.587, -0.671, 0.061, -0.366, -56.113, 2.137, 57.36, -2.620, 18.813, -137.460, 23.09, -0.77609, 0.40857, 0.20306, -0.43518,
 08:16:56.535,f7:68:33:b1:9e:f1, 2015-01-01 01:02:58.545, -0.04, -0.817, 0.587, -0.671, 0.061, -0.366, -56.118, 2.131, 57.36, -2.620, 18.813, -137.460, 23.09, -0.77609, 0.40857, 0.20306, -0.43518,
 08:16:56.535,f7:68:33:b1:9e:f1, 2015-01-01 01:02:58.545, -0.04, -0.817, 0.587, -0.671, 0.061, -0.366, -56.124, 2.131, 57.36, -2.620, 18.813, -137.460, 23.09, -0.77609, 0.40857, 0.20306, -0.43518,
 08:16:56.535,f7:68:33:b1:9e:f1, 2015-01-01 01:02:58.545, -0.039, -0.817, 0.587, -0.671, 0.061, -0.366, -56.124, 2.131, 57.36, -2.620, 18.813, -137.460, 23.09, -0.77609, 0.40857, 0.20306, -0.43518,
 08:16:56.536,f7:68:33:b1:9e:f1, 2015-01-01 01:02:58.545, -0.039, -0.816, 0.585, -0.732, 0.244, -0.549, -56.129, 2.131, 57.354, -2.620, 18.813, -137.460, 23.09, -0.77609, 0.40857, 0.20306, -0.43518,
 08:16:56.537,f7:68:33:b1:9e:f1, 2015-01-01 01:02:58.545, -0.039, -0.816, 0.585, -0.732, 0.244, -0.549, -56.135, 2.126, 57.354, -2.620, 18.813, -137.460, 23.09, -0.77609, 0.40857, 0.20306, -0.43518,
 08:16:56.537,f7:68:33:b1:9e:f1, 2015-01-01 01:02:58.545, -0.039, -0.816, 0.585, -0.732, 0.244, -0.549, -56.135, 2.126, 57.349, -2.620, 18.813, -137.460, 23.09, -0.77609, 0.40857, 0.20306, -0.43518,
 08:16:56.537,f7:68:33:b1:9e:f1, 2015-01-01 01:02:58.545, -0.038, -0.816, 0.585, -0.732, 0.244, -0.549, -56.14, 2.126, 57.349, -2.620, 18.813, -137.460, 23.09, -0.77609, 0.40857, 0.20306, -0.43518,
 08:16:56.547,d6:24:01:31:b7:6e, 2015-01-01 00:58:43.285, -0.147, -0.417, 0.928, -0.183, 0.122, -0.183, -24.593, 8.586, -22.308, -4.920, 57.133, -42.640, 24.9, 0.95895, -0.19418, 0.11282, -0.17288,
 08:16:56.592,f7:68:33:b1:9e:f1, 2015-01-01 01:02:58.905, -0.038, -0.814, 0.585, -0.671, 0.427, -0.671, -56.146, 2.126, 57.343, -2.620, 18.813, -137.460, 23.09, -0.77609, 0.40857, 0.20306, -0.43518,
