timestamp,ax (m/s^2),ay (m/s^2),az (m/s^2),wx (deg/s),wy (deg/s),wz (deg/s),roll (deg),pitch (deg),yaw (deg),tilt angle (deg)
2025-05-29 23:55:57.150,8.38837890625,0.9091796875000001,5.06748046875,0.3662109375,-2.5634765625,-0.30517578125,8.7451171875,-58.2220458984375,-128.759765625,84.69976224583073
2025-05-29 23:55:57.400,8.38837890625,0.9091796875000001,5.0531250000000005,0.91552734375,-2.197265625,-0.3662109375,8.8165283203125,-58.3154296875,-128.8201904296875,84.69577174324422
2025-05-29 23:55:57.434,8.39794921875,0.9426757812500001,5.04833984375,1.77001953125,-2.9296875,0.244140625,8.8934326171875,-58.4197998046875,-128.86962890625,84.50472661648648
2025-05-29 23:55:57.467,8.431445312500001,0.9666015625000001,5.04833984375,1.5869140625,-3.23486328125,0.6103515625,8.9593505859375,-58.5406494140625,-128.8861083984375,84.38250028470969
2025-05-29 23:55:57.527,8.441015625,0.9905273437500001,5.0052734375000005,1.3427734375,-2.8076171875,0.3662109375,9.0142822265625,-58.6614990234375,-128.8916015625,84.23632279191139
2025-05-29 23:55:57.557,8.46494140625,0.976171875,4.9813476562500005,1.28173828125,-2.50244140625,0.06103515625,9.0802001953125,-58.7713623046875,-128.9080810546875,84.32414859037456
2025-05-29 23:55:57.647,8.474511718750001,0.95224609375,5.0052734375000005,1.03759765625,-2.8076171875,-0.1220703125,9.16259765625,-58.8812255859375,-128.9520263671875,84.47379110208075
2025-05-29 23:55:57.677,8.46015625,0.976171875,4.92392578125,1.0986328125,-2.25830078125,-0.18310546875,9.2449951171875,-58.9910888671875,-129.00146484375,84.30506267304143
2025-05-29 23:55:57.709,8.4697265625,0.9426757812500001,4.9574218750000005,0.732421875,-2.86865234375,-0.244140625,9.327392578125,-59.0899658203125,-129.056396484375,84.51326828621535
2025-05-29 23:55:57.772,8.46494140625,0.976171875,4.919140625000001,0.1220703125,-2.38037109375,-0.3662109375,9.393310546875,-59.1943359375,-129.1168212890625,84.30606286043904
2025-05-29 23:55:57.805,8.4888671875,0.976171875,4.895214843750001,0.1220703125,-1.89208984375,-0.30517578125,9.437255859375,-59.2767333984375,-129.17724609375,84.31109633512933
2025-05-29 23:55:57.866,8.498437500000001,1.0144531250000002,4.8904296875,0.06103515625,-1.64794921875,-0.30517578125,9.481201171875,-59.34814453125,-129.2266845703125,84.09308577099179
2025-05-29 23:55:57.898,8.48408203125,0.9953125,4.8856445312500005,-0.18310546875,-1.89208984375,-0.42724609375,9.5196533203125,-59.4195556640625,-129.2816162109375,84.1950516901765
2025-05-29 23:55:57.931,8.5080078125,1.0144531250000002,4.8856445312500005,-0.18310546875,-2.01416015625,-0.79345703125,9.580078125,-59.4964599609375,-129.3475341796875,84.0966202694992
2025-05-29 23:55:57.994,8.46015625,1.0240234375000001,4.799511718750001,-0.732421875,-1.953125,-1.40380859375,9.656982421875,-59.5623779296875,-129.462890625,83.9900874825648
2025-05-29 23:55:58.026,8.5080078125,0.9331054687500001,4.8521484375,-0.48828125,-2.8076171875,-1.77001953125,9.7723388671875,-59.65576171875,-129.627685546875,84.5578765088855
2025-05-29 23:55:58.087,8.56064453125,0.899609375,4.8856445312500005,1.15966796875,-3.35693359375,-1.5869140625,9.931640625,-59.765625,-129.803466796875,84.78511967902315
2025-05-29 23:55:58.114,8.61328125,0.9139648437500001,4.87607421875,3.7841796875,-2.685546875,-1.220703125,10.1513671875,-59.8809814453125,-129.96826171875,84.72421080948688
2025-05-29 23:55:58.144,8.570214843750001,1.0048828125,4.799511718750001,4.0283203125,-1.46484375,-1.46484375,10.3985595703125,-59.952392578125,-130.10009765625,84.15879603022486
2025-05-29 23:55:58.203,8.53671875,1.10537109375,4.76123046875,4.08935546875,-1.46484375,-1.46484375,10.6622314453125,-60.0018310546875,-130.23193359375,83.54812535817426
2025-05-29 23:55:58.233,8.53193359375,1.1915039062500001,4.7373046875,2.62451171875,-1.40380859375,-1.5869140625,10.9039306640625,-60.0457763671875,-130.3802490234375,83.03897077005391
2025-05-29 23:55:58.291,8.570214843750001,1.22021484375,4.7420898437500005,0.42724609375,-1.3427734375,-2.25830078125,11.1126708984375,-60.0897216796875,-130.550537109375,82.89872456941458
2025-05-29 23:55:58.320,8.57978515625,1.2058593750000002,4.73251953125,-0.732421875,-1.46484375,-2.685546875,11.2994384765625,-60.1171875,-130.770263671875,82.98408952186098
2025-05-29 23:55:58.349,8.622851562500001,1.16279296875,4.7420898437500005,-1.15966796875,-1.77001953125,-2.99072265625,11.4862060546875,-60.172119140625,-131.02294921875,83.2611411804655
2025-05-29 23:55:58.409,8.575000000000001,1.1915039062500001,4.746875,-2.99072265625,-1.46484375,-3.60107421875,11.656494140625,-60.205078125,-131.30859375,83.06872422601015
2025-05-29 23:55:58.441,8.575000000000001,1.1101562500000002,4.78037109375,-2.99072265625,-1.40380859375,-4.150390625,11.8267822265625,-60.22705078125,-131.63818359375,83.54841314520986
2025-05-29 23:55:58.470,8.53671875,1.091015625,4.7420898437500005,-2.0751953125,-0.91552734375,-3.662109375,12.008056640625,-60.238037109375,-131.9677734375,83.6252017877695
2025-05-29 23:55:58.532,8.5080078125,1.0000976562500001,4.72294921875,-0.06103515625,-0.67138671875,-2.685546875,12.1728515625,-60.238037109375,-132.2259521484375,84.13206574305921
2025-05-29 23:55:58.563,8.51279296875,1.12451171875,4.689453125,2.62451171875,-0.42724609375,-1.28173828125,12.3431396484375,-60.2545166015625,-132.38525390625,83.40007497191884
