quarter,total_events,max_lean,avg_lean_angle,quarter_score
Q1,0,0.0,0.0,100.0
Q2,1,34.703920572110924,34.703920572110924,37.94411914183362
Q3,0,0.0,0.0,100.0
Q4,1,27.97685453207186,27.97685453207186,48.03471820189221
Avg,2,34.703920572110924,15.670193776045696,71.49470933593146
